x,y,verdict,gt_ink_frac,contrast_28,detector_prob,layer_hits,n_candidates,source
3400,1800,REAL_INK,0.9147,-2024.4,0.065,2,0,consensus:27=0.080 28=0.040 29=0.050
2600,1800,REAL_INK,0.901,-1437.4,0.0933,3,0,consensus:27=0.080 28=0.120 29=0.080
2800,600,REAL_INK,0.8057,-2814.4,0.0667,3,0,consensus:27=0.085 28=0.055 29=0.060
2688,1792,REAL_INK,0.7777,-1437.2,0.0,6,1,letter-candidate:Mostly blank surface with sparse thin da
3000,3800,REAL_INK,0.7188,-909.8,0.0833,3,0,consensus:27=0.120 28=0.080 29=0.050
2000,2800,REAL_INK,0.7032,-5386.8,0.0983,3,0,consensus:27=0.100 28=0.080 29=0.115
2912,3808,REAL_INK,0.6844,-1186.1,0.0,7,1,letter-candidate:Tile is predominantly bright/blank with 
2400,3200,REAL_INK,0.6422,-1392.1,0.0933,3,0,consensus:27=0.050 28=0.150 29=0.080
2688,672,REAL_INK,0.6356,-2581.3,0.0,8,1,letter-candidate:Sparse dark curvilinear marks on light s
2016,2912,REAL_INK,0.6051,-10035.3,0.0,8,1,letter-candidate:Mostly blank tile with sparse dark marks
2240,896,REAL_INK,0.6043,-286.7,0.0,9,1,letter-candidate:Sparse fragmented dark strokes clustered
2400,2000,REAL_INK,0.5886,-1278.2,0.08,3,0,consensus:27=0.080 28=0.080 29=0.080
3000,4800,REAL_INK,0.5616,-3347.3,0.0667,3,0,consensus:27=0.080 28=0.060 29=0.060
1600,3800,REAL_INK,0.5416,-3701.9,0.08,3,0,consensus:27=0.080 28=0.080 29=0.080
2600,6000,REAL_INK,0.5238,-2540.7,0.1067,3,0,consensus:27=0.080 28=0.120 29=0.120
2000,3000,REAL_INK,0.5078,-9181.3,0.1267,3,0,consensus:27=0.120 28=0.080 29=0.180
2800,4200,REAL_INK,0.4866,-1496.9,0.0725,2,0,consensus:27=0.035 28=0.070 29=0.075
2800,1800,REAL_INK,0.4506,-569.4,0.0783,3,0,consensus:27=0.080 28=0.075 29=0.080
3200,800,REAL_INK,0.4135,-1168.3,0.08,2,0,consensus:27=0.080 28=0.080 29=0.020
2200,3000,REAL_INK,0.4018,-3620.2,0.08,2,0,consensus:27=0.080 28=0.080 29=0.020
1600,3600,REAL_INK,0.3826,-7076.7,0.085,2,0,consensus:27=0.020 28=0.050 29=0.120
3800,2200,REAL_INK,0.3573,-2889.8,0.0967,3,0,consensus:27=0.120 28=0.120 29=0.050
2000,2600,REAL_INK,0.3408,-7951.3,0.07,3,0,consensus:27=0.080 28=0.080 29=0.050
800,5200,REAL_INK,0.3336,-3828.1,0.06,3,0,consensus:27=0.080 28=0.050 29=0.050
1600,3200,REAL_INK,0.3112,-2802.5,0.08,2,0,consensus:27=0.080 28=0.030 29=0.080
2400,800,REAL_INK,0.3099,-3757.3,0.07,3,0,consensus:27=0.080 28=0.050 29=0.080
800,3800,REAL_INK,0.3009,-642.1,0.05,3,0,consensus:27=0.050 28=0.050 29=0.050
1800,5800,REAL_INK,0.2624,-758.7,0.065,2,0,consensus:27=0.080 28=0.050 29=0.030
1600,6000,REAL_INK,0.2392,-2411.2,0.1,2,0,consensus:27=0.020 28=0.080 29=0.120
3200,4800,REAL_INK,0.2335,-6684.9,0.12,3,0,consensus:27=0.100 28=0.130 29=0.130
1000,6000,REAL_INK,0.2123,-637.5,0.0775,2,0,consensus:27=0.040 28=0.070 29=0.085
2600,600,REAL_INK,0.1936,-944.3,0.1033,3,0,consensus:27=0.150 28=0.080 29=0.080
2800,6000,REAL_INK,0.1926,-5011.3,0.0675,2,0,consensus:27=0.050 28=0.070 29=0.065
3136,4928,REAL_INK,0.1791,-1763.0,0.0,8,1,letter-candidate:Mostly blank papyrus with a few scattere
2688,6048,REAL_INK,0.1731,-8991.4,0.0,8,1,letter-candidate:Predominantly blank/bright papyrus with 
3400,2200,REAL_INK,0.1668,-1534.0,0.065,2,0,consensus:27=0.080 28=0.050 29=0.030
2400,2200,REAL_INK,0.1639,-4076.1,0.0933,3,0,consensus:27=0.120 28=0.080 29=0.080
2200,4600,REAL_INK,0.1595,-705.1,0.065,2,0,consensus:27=0.065 28=0.020 29=0.065
3000,5800,REAL_INK,0.1496,-623.1,0.05,2,0,consensus:27=0.050 28=0.040 29=0.050
3200,5000,REAL_INK,0.1398,-1908.4,0.1267,3,0,consensus:27=0.120 28=0.180 29=0.080
2200,600,REAL_INK,0.0813,-184.8,0.0833,3,0,consensus:27=0.150 28=0.050 29=0.050
672,6272,REAL_INK,0.077,-1255.4,0.0,7,1,letter-candidate:Mostly sparse fragmentary marks that may
2016,1120,REAL_INK,0.0415,-2987.8,0.0,6,1,letter-candidate:Predominantly bright background with thi
3800,4200,REAL_INK,0.0274,-4953.8,0.05,3,0,consensus:27=0.050 28=0.050 29=0.050
2000,1000,REAL_INK,0.0214,-3113.2,0.12,3,0,consensus:27=0.180 28=0.130 29=0.050
1568,6496,REAL_INK,0.0209,-4709.3,0.0,7,1,letter-candidate:Mostly blank surface with sharp short ho
2400,4200,GT_CONFIRMED,0.8838,3757.6,0.05,3,0,consensus:27=0.050 28=0.050 29=0.050
3800,800,GT_CONFIRMED,0.7976,768.7,0.0933,3,0,consensus:27=0.050 28=0.080 29=0.150
4000,600,GT_CONFIRMED,0.7841,3582.1,0.1167,3,0,consensus:27=0.120 28=0.080 29=0.150
1600,1800,GT_CONFIRMED,0.719,1543.9,0.0833,3,0,consensus:27=0.120 28=0.050 29=0.080
2400,3000,GT_CONFIRMED,0.5931,2506.8,0.05,2,0,consensus:27=0.050 28=0.050 29=0.030
3200,4200,GT_CONFIRMED,0.5474,3345.3,0.07,3,0,consensus:27=0.050 28=0.080 29=0.080
2200,800,GT_CONFIRMED,0.5437,2171.4,0.12,3,0,consensus:27=0.120 28=0.120 29=0.120
4032,672,GT_CONFIRMED,0.5282,3423.6,0.0,8,1,letter-candidate:Faint discontinuous dark dashes across u
2200,3800,GT_CONFIRMED,0.5129,3614.7,0.06,3,0,consensus:27=0.050 28=0.080 29=0.050
3200,3800,GT_CONFIRMED,0.5008,2808.5,0.14,3,0,consensus:27=0.120 28=0.120 29=0.180
800,5400,GT_CONFIRMED,0.4733,2863.8,0.12,2,0,consensus:27=0.120 28=0.120 29=0.030
2200,1000,GT_CONFIRMED,0.4676,4771.3,0.1,3,0,consensus:27=0.150 28=0.080 29=0.070
3000,4200,GT_CONFIRMED,0.4614,283.2,0.1067,3,0,consensus:27=0.050 28=0.120 29=0.150
3600,5000,GT_CONFIRMED,0.3718,2708.0,0.08,2,0,consensus:27=0.020 28=0.080 29=0.080
4200,600,GT_CONFIRMED,0.3619,3917.7,0.05,2,0,consensus:27=0.050 28=0.050 29=0.040
3600,400,GT_CONFIRMED,0.3403,2358.6,0.05,2,0,consensus:27=0.050 28=0.020 29=0.050
2200,4200,GT_CONFIRMED,0.3315,2838.2,0.05,2,0,consensus:27=0.050 28=0.050 29=0.020
600,5800,GT_CONFIRMED,0.3129,2066.5,0.085,2,0,consensus:27=0.040 28=0.120 29=0.050
800,5600,GT_CONFIRMED,0.3088,2038.7,0.1,2,0,consensus:27=0.120 28=0.080 29=0.040
3000,400,GT_CONFIRMED,0.3081,6196.3,0.05,2,0,consensus:27=0.050 28=0.020 29=0.050
1200,6000,GT_CONFIRMED,0.2984,967.3,0.11,3,0,consensus:27=0.060 28=0.120 29=0.150
2200,4400,GT_CONFIRMED,0.2824,3716.5,0.05,2,0,consensus:27=0.050 28=0.020 29=0.050
3800,3800,GT_CONFIRMED,0.2322,623.0,0.065,2,0,consensus:27=0.080 28=0.050 29=0.020
3200,2000,GT_CONFIRMED,0.2179,839.7,0.065,2,0,consensus:27=0.050 28=0.080 29=0.040
2400,600,GT_CONFIRMED,0.2166,1926.5,0.16,3,0,consensus:27=0.280 28=0.080 29=0.120
1400,1600,GT_CONFIRMED,0.208,4665.7,0.065,2,0,consensus:27=0.080 28=0.020 29=0.050
2000,1800,GT_CONFIRMED,0.2064,683.5,0.06,3,0,consensus:27=0.050 28=0.080 29=0.050
1800,3000,GT_CONFIRMED,0.2047,1737.6,0.05,2,0,consensus:27=0.020 28=0.050 29=0.050
3200,5800,GT_CONFIRMED,0.2011,842.8,0.05,2,0,consensus:27=0.040 28=0.050 29=0.050
1120,6048,GT_CONFIRMED,0.1959,1814.9,0.0,7,1,letter-candidate:Mostly blank surface with a few sparse s
2464,672,GT_CONFIRMED,0.1823,1746.4,0.0,6,1,letter-candidate:Sparse dark curvilinear marks on light b
3600,5400,GT_CONFIRMED,0.163,1627.7,0.05,2,0,consensus:27=0.050 28=0.050 29=0.020
2800,400,GT_CONFIRMED,0.1453,5386.0,0.0575,2,0,consensus:27=0.050 28=0.035 29=0.065
3400,6000,GT_CONFIRMED,0.1324,1815.8,0.085,2,0,consensus:27=0.020 28=0.050 29=0.120
3600,4200,GT_CONFIRMED,0.116,2610.7,0.065,2,0,consensus:27=0.020 28=0.050 29=0.080
3600,2600,GT_CONFIRMED,0.1112,4406.5,0.05,2,0,consensus:27=0.020 28=0.050 29=0.050
3600,800,GT_CONFIRMED,0.0968,270.0,0.065,2,0,consensus:27=0.020 28=0.050 29=0.080
1200,2400,GT_CONFIRMED,0.0831,2971.2,0.08,3,0,consensus:27=0.080 28=0.080 29=0.080
2400,1000,GT_CONFIRMED,0.0465,5854.1,0.0617,3,0,consensus:27=0.065 28=0.065 29=0.055
3000,5000,GT_CONFIRMED,0.0314,7034.3,0.08,3,0,consensus:27=0.080 28=0.080 29=0.080
1000,3600,CONTRAST_ONLY,0.0161,-390.5,0.07,2,0,consensus:27=0.050 28=0.070 29=0.070
4000,3800,CONTRAST_ONLY,0.0056,-14130.2,0.065,2,0,consensus:27=0.050 28=0.080 29=0.000
2200,1800,CONTRAST_ONLY,0.0046,-1449.7,0.05,2,0,consensus:27=0.050 28=0.050 29=0.020
1000,5600,CONTRAST_ONLY,0.0016,-3132.6,0.0775,2,0,consensus:27=0.100 28=0.055 29=0.030
1000,5400,UNCONFIRMED,0.0151,8417.2,0.07,2,0,consensus:27=0.070 28=0.070 29=0.015
3000,2600,UNCONFIRMED,0.0127,4752.8,0.06,3,0,consensus:27=0.080 28=0.050 29=0.050
800,3600,UNCONFIRMED,0.0077,7702.1,0.1067,3,0,consensus:27=0.080 28=0.120 29=0.120
3000,1800,UNCONFIRMED,0.004,573.9,0.08,2,0,consensus:27=0.080 28=0.030 29=0.080
672,6496,UNCONFIRMED,0.0,nan,0.0,9,1,letter-candidate:Sparse fragmented curvilinear strokes co
3360,2464,UNCONFIRMED,0.0,nan,0.0,8,1,letter-candidate:Sparse dark curvilinear marks clustered 
400,6000,UNCONFIRMED,0.0,nan,0.16,3,0,consensus:27=0.080 28=0.050 29=0.350
1400,5600,UNCONFIRMED,0.0,nan,0.0933,3,0,consensus:27=0.120 28=0.080 29=0.080
1600,2400,UNCONFIRMED,0.0,nan,0.0933,3,0,consensus:27=0.080 28=0.120 29=0.080
2600,2200,UNCONFIRMED,0.0,nan,0.0933,3,0,consensus:27=0.080 28=0.080 29=0.120
2400,2400,UNCONFIRMED,0.0,nan,0.0867,3,0,consensus:27=0.120 28=0.060 29=0.080
1200,5800,UNCONFIRMED,0.0,nan,0.085,2,0,consensus:27=0.120 28=0.030 29=0.050
3200,5600,UNCONFIRMED,0.0,nan,0.085,2,0,consensus:27=0.120 28=0.050 29=0.010
3600,2400,UNCONFIRMED,0.0,nan,0.085,2,0,consensus:27=0.120 28=0.050 29=0.030
1000,2400,UNCONFIRMED,0.0,nan,0.08,3,0,consensus:27=0.080 28=0.080 29=0.080
2600,5400,UNCONFIRMED,0.0,nan,0.08,2,0,consensus:27=0.080 28=0.080 29=0.020
2000,5600,UNCONFIRMED,0.0,nan,0.0767,3,0,consensus:27=0.060 28=0.120 29=0.050
3000,2400,UNCONFIRMED,0.0,nan,0.0733,3,0,consensus:27=0.080 28=0.060 29=0.080
3400,2400,UNCONFIRMED,0.0,nan,0.0733,3,0,consensus:27=0.060 28=0.080 29=0.080
2000,1200,UNCONFIRMED,0.0,9383.6,0.07,3,0,consensus:27=0.080 28=0.080 29=0.050
2000,1600,UNCONFIRMED,0.0,nan,0.07,3,0,consensus:27=0.080 28=0.080 29=0.050
2400,1200,UNCONFIRMED,0.0,nan,0.065,2,0,consensus:27=0.050 28=0.080 29=0.030
3800,3400,UNCONFIRMED,0.0,nan,0.065,2,0,consensus:27=0.080 28=0.020 29=0.050
4200,2200,UNCONFIRMED,0.0,nan,0.065,2,0,consensus:27=0.080 28=0.040 29=0.050
600,4200,UNCONFIRMED,0.0,nan,0.0633,3,0,consensus:27=0.060 28=0.050 29=0.080
800,3400,UNCONFIRMED,0.0,nan,0.06,3,0,consensus:27=0.080 28=0.050 29=0.050
2600,400,UNCONFIRMED,0.0,nan,0.06,3,0,consensus:27=0.050 28=0.050 29=0.080
2600,5600,UNCONFIRMED,0.0,nan,0.06,3,0,consensus:27=0.080 28=0.050 29=0.050
2800,2400,UNCONFIRMED,0.0,nan,0.055,2,0,consensus:27=0.055 28=0.055 29=0.050
4600,1200,UNCONFIRMED,0.0,nan,0.0525,2,0,consensus:27=0.050 28=0.055 29=0.020
1400,5800,UNCONFIRMED,0.0,nan,0.05,3,0,consensus:27=0.050 28=0.050 29=0.050
1800,4400,UNCONFIRMED,0.0,nan,0.05,2,0,consensus:27=0.000 28=0.050 29=0.050
3400,1400,UNCONFIRMED,0.0,nan,0.05,3,0,consensus:27=0.050 28=0.050 29=0.050
4400,1400,UNCONFIRMED,0.0,nan,0.05,2,0,consensus:27=0.050 28=0.050 29=0.020
5000,2200,UNCONFIRMED,0.0,nan,0.05,2,0,consensus:27=0.050 28=0.050 29=0.020
